classification_2019,classification_2020,classification_2021,es_espurio,temperature_2m,total_precipitation_sum
19,19,19,0,296.14925246821764,0.05902617004853402
3,3,3,0,296.0236567889304,0.061845467262883126
3,3,3,0,296.2701596824288,0.058604734165886185
19,19,19,0,295.86813644306363,0.06855317157846604
19,19,19,0,295.7753985758358,0.07040753416560008
19,19,19,0,295.5124200077074,0.06382278802337164
19,19,19,0,296.3180227604646,0.060508124056874855
3,3,3,0,296.2521072277901,0.06019686736009433
19,19,19,0,296.3732706128861,0.055703836951076134
3,3,3,0,295.7693562175731,0.06983161546132877
19,19,19,0,296.33010316331587,0.06015317343018367
19,19,19,0,295.62132868181374,0.07389605246327235
19,19,19,0,296.25610364828805,0.06488824836752727
3,3,3,0,296.4402820252156,0.058735822164435326
3,3,3,0,295.66256281357835,0.06059097823840295
3,3,19,0,295.77305893759325,0.069911546531736
4,4,19,0,295.56311433220884,0.07028252956610832
3,3,3,0,296.2089079214037,0.06014014857353681
15,15,15,0,296.4774509661327,0.06289086567701811
3,3,3,0,296.6837673164998,0.05699489094159915
19,19,19,0,295.6872735904703,0.06407714587789688
3,3,3,0,296.2479752636317,0.06222383878968074
3,3,3,0,296.32752908147694,0.06452745896917496
19,19,19,0,295.90584519245084,0.06840588974298949
3,3,3,0,296.3708067290122,0.053018925858953736
3,3,3,0,296.33190825574553,0.06626595136862908
19,19,19,0,296.10212968881814,0.06275127532424445
3,3,3,0,296.514977561046,0.06014819768410836
19,19,19,0,296.23253236630643,0.06089196927688434
3,3,3,0,295.5088874687298,0.06794245245398993
19,19,19,0,295.98677998722025,0.06128423613649522
19,19,19,0,296.1680858864515,0.06355293544473166
19,19,19,0,296.3695167762684,0.05856913777532095
19,19,19,0,296.0566614122535,0.06229094989440753
66,66,3,0,295.94576055748684,0.06768913147193108
19,19,19,0,295.8304949869917,0.06151896419467443
19,19,19,0,296.08932002611175,0.06177995182416751
19,15,15,0,296.5703685110237,0.06814280229153151
19,19,19,0,295.5088874687298,0.06794245245398993
3,3,3,0,296.514977561046,0.06014819768410836
3,3,3,0,296.3566742016497,0.06177420742652728
3,3,3,0,295.6872735904703,0.06407714587789688
3,3,3,0,296.23104397324033,0.06413080992640967
19,19,19,0,296.19934586913064,0.06193427694183503
19,19,19,0,295.478875589744,0.06774764833193932
19,19,19,0,295.90584519245084,0.06840588974298949
15,15,15,0,296.4584827055405,0.06105617262265994
3,3,3,0,296.20786645313336,0.06383999886455054
3,3,3,0,295.9028054676642,0.06568623286825333
19,19,15,0,296.42856470723973,0.06382974686564917
19,19,19,0,295.7753985758358,0.07040753416560008
15,15,19,0,295.3973865787576,0.07160800648075256
3,3,3,0,296.0549977449671,0.06652843283953185
3,3,3,0,295.94576055748684,0.06768913147193108
19,19,19,0,295.9527129335093,0.062400120768367394
19,19,19,0,295.49569428129826,0.06548917370380873
3,3,3,0,296.1366946501495,0.0635601674749644
19,19,19,0,295.5004467086936,0.06319691193443451
3,3,3,0,296.32752908147694,0.06452745896917496
19,19,19,0,296.3708067290122,0.053018925858953736
3,3,3,0,295.84807211120926,0.06181411149444097
3,3,3,0,296.363658737489,0.05506578040462647
19,19,19,0,296.2887641279265,0.06218112336935514
19,19,19,0,295.5989408185307,0.06388573301178131
3,3,19,0,296.3343465060105,0.0643799647921514
3,3,3,0,296.46707209811365,0.0494552423789294
15,15,19,0,295.72014548791407,0.06671640105388477
3,3,3,0,296.6520503971774,0.06511758220535431
19,19,19,0,295.6972075043299,0.06474013206702385
19,19,19,0,295.84807211120926,0.06181411149444097
19,19,19,0,295.6872735904703,0.06407714587789688
19,19,19,0,295.5989408185307,0.06388573301178131
3,3,3,0,296.5841916276357,0.06632733421864027
19,19,19,0,296.31150538282805,0.057750952267069756
19,19,19,0,295.7456560016214,0.0724591247970056
3,3,3,0,296.4584827055405,0.06105617262265994
19,19,19,0,295.8951288910185,0.06024274679364675
3,3,3,0,296.25943989183634,0.06192827549916421
19,19,19,0,296.32752908147694,0.06452745896917496
4,4,4,0,296.5076519816845,0.05171100251219585
3,19,19,0,296.5459603383044,0.056217544549126565
19,19,19,0,296.0716358164129,0.06359066891016478
3,3,3,0,296.6360375959931,0.06734384797356441
15,15,15,0,295.51788797619184,0.06493367828271701
3,3,3,0,295.9028054676642,0.06568623286825333
3,3,3,0,296.05145600759187,0.062173269215642556
19,19,19,0,296.340564208146,0.06292389410080428
19,19,19,0,295.5123432104792,0.06495196200750186
3,3,3,0,296.20786645313336,0.06383999886455054
19,19,19,0,295.82059447864657,0.06956686653039768
19,19,19,0,295.88411384697525,0.062343573345163605
3,15,15,0,296.514977561046,0.06014819768410836
19,19,19,0,296.5333447396345,0.059385589781819924
3,3,15,0,295.774013618664,0.06546580868305678
3,3,3,0,296.25383339771184,0.061302285167991265
3,3,3,0,295.8693333637757,0.06860250435612514
19,19,19,0,295.5989408185307,0.06388573301178131
19,19,19,0,296.21535817218677,0.06060285818916474
15,15,15,0,295.5937097025611,0.07344740085146739
19,19,19,0,295.6872735904703,0.06407714587789688
3,3,3,0,296.38053910540435,0.05634627319715335
4,4,4,0,296.10212968881814,0.06275127532424445
3,3,3,0,296.26087202307605,0.0621395677560758
3,3,3,0,296.17706437921436,0.0629146442049932
19,19,19,0,295.9649225665421,0.06527516819379642
19,19,19,0,295.82059447864657,0.06956686653039768
3,3,3,0,295.81044760130095,0.06527525015018298
19,19,19,0,295.5884875767861,0.06801863339883003
3,3,3,0,295.4012026798846,0.07052072959484572
3,3,3,0,295.92508291622977,0.06568019044738922
3,3,3,0,296.34106873802926,0.0662033962939373
19,19,19,0,296.22604518489123,0.06054741221012586
4,4,77,0,296.37119444394807,0.06272047214052989
3,3,3,0,296.1576017084599,0.06504130191943958
19,19,19,0,295.7901726489986,0.07072350956342532
15,15,19,0,296.2613113285982,0.060078416788001
3,3,3,0,296.55969184711375,0.06907154944878731
19,19,19,0,295.4781212472132,0.06855139834028397
3,3,3,0,296.5333447396345,0.059385589781819924
19,19,19,0,295.63721070386663,0.07072223551414325
4,4,15,0,295.76069983443386,0.0698131988678566
3,4,4,0,296.3566742016497,0.06177420742652728
3,3,3,0,296.25383339771184,0.061302285167991265
19,19,19,0,296.25383339771184,0.061302285167991265
3,3,3,0,295.9649225665421,0.06527516819379642
19,19,19,0,295.50546124478194,0.06833616596800003
19,19,19,0,296.0566614122535,0.06229094989440753
19,19,19,0,295.87955090667117,0.06792448165359015
19,3,3,0,296.1839650333922,0.05997206099174335
19,19,19,0,295.88411384697525,0.062343573345163605
19,19,19,0,295.6161575612428,0.06770514897845104
19,19,19,0,295.5977707512254,0.06813359585744057
19,19,19,0,295.72014548791407,0.06671640105388477
19,19,19,0,295.50546124478194,0.06833616596800003
19,19,19,0,296.31698011916666,0.059519936167616784
3,3,3,0,295.65870272227966,0.06838115257364426
19,19,15,0,295.8005773663732,0.07012366207780356
3,3,3,0,296.37119444394807,0.06272047214052989
3,3,3,0,296.4584827055405,0.06105617262265994
3,3,3,0,296.1366946501495,0.0635601674749644
3,3,3,0,296.5333447396345,0.059385589781819924
3,3,3,0,296.4753503982194,0.06192279559713517
4,4,4,0,296.1576017084599,0.06504130191943958
19,19,19,0,295.549356539282,0.06715067304513767
3,3,3,0,296.37119444394807,0.06272047214052989
19,19,19,0,295.43380456396267,0.06776386576237196
3,3,3,0,295.95242929743273,0.06258557937882259
19,19,15,0,296.0566614122535,0.06229094989440753
19,19,19,0,295.52996836848206,0.06147282274903768
3,3,3,0,295.8525976370857,0.06903125422539229
3,3,3,0,296.363658737489,0.05506578040462647
19,15,15,0,295.84807211120926,0.06181411149444097
3,3,3,0,296.5444543297072,0.05865535961927885
19,19,19,0,295.7456560016214,0.0724591247970056
19,19,19,0,295.94576055748684,0.06768913147193108
3,3,3,0,296.4067126417536,0.055131460997878655
3,3,3,0,295.89200453373206,0.06779885989767227
15,15,15,0,296.4988583641156,0.05230809204123332
3,3,3,0,296.3079814244283,0.059212505343972786
19,19,19,0,295.98158801190215,0.0647704584135802
19,19,19,0,295.8951288910185,0.06024274679364675
3,3,3,0,296.14925246821764,0.05902617004853402
19,19,19,0,295.52996836848206,0.06147282274903768
3,3,3,0,295.8693333637757,0.06860250435612514
19,19,19,0,295.8554143392656,0.06860979102394893
3,3,15,0,295.4231071212445,0.06892881867629204
19,19,19,0,295.4098592536252,0.06991150555354271
3,3,3,0,296.4942617185654,0.05910118249398385
3,3,3,0,295.98158801190215,0.0647704584135802
