classification_2020,temperature_2m,total_precipitation_sum
19,295.7753985758358,0.07040753416560008
3,295.58609524106174,0.06202957483472341
3,296.0629448517141,0.06685742191813304
3,295.87955090667117,0.06792448165359015
19,296.4402820252156,0.058735822164435326
15,296.23253236630643,0.06089196927688434
3,295.88065374025535,0.06264606691739871
19,295.53025283133576,0.06380026491822714
19,296.12444561067935,0.06359560491981024
19,295.58609524106174,0.06202957483472341
3,295.49569428129826,0.06548917370380873
3,295.64093786988366,0.06064086856784338
19,295.97045019071237,0.06704975493095233
3,296.3439801240348,0.05331229122819418
19,295.8654195606343,0.06978343628189876
3,296.47919149803687,0.060679122332154854
19,295.7364388466372,0.06959292493603542
19,295.6161575612428,0.06770514897845104
3,296.23104397324033,0.06413080992640967
19,296.1366946501495,0.0635601674749644
3,296.3054250076567,0.05818792385202561
19,296.32752908147694,0.06452745896917496
19,296.5414349949827,0.05030148180665487
19,296.2234977799392,0.0640605062478971
3,295.9028054676642,0.06568623286825333
19,295.9365501074936,0.06276475590807114
19,295.5124200077074,0.06382278802337164
19,296.16231737294197,0.061182262523391984
3,296.12444561067935,0.06359560491981024
3,296.2234977799392,0.0640605062478971
19,296.2910396180262,0.05908161106051916
19,295.5989408185307,0.06388573301178131
19,295.8525976370857,0.06903125422539229
19,296.1576017084599,0.06504130191943958
3,295.82051239135274,0.06284780132116789
19,296.3343465060105,0.0643799647921514
3,296.25610364828805,0.06488824836752727
19,295.6300685729556,0.06883126077395592
15,296.4010254430746,0.061678802741983674
3,296.34195579839314,0.06051368343176359
3,296.1576017084599,0.06504130191943958
3,296.3405942291047,0.05610963779034132
3,295.7296802987884,0.07209816279353613
19,296.5409058848265,0.05943567879340961
11,295.81724968871794,0.07028098977945163
3,295.86813644306363,0.06855317157846604
19,295.3973865787576,0.07160800648075256
19,295.53025283133576,0.06380026491822714
19,296.21535817218677,0.06060285818916474
3,295.7835360479989,0.06331593868476067
19,296.0390995346296,0.06735998965642764
4,295.5977707512254,0.06813359585744057
3,296.15225853327104,0.06372126765392139
3,296.5007630313808,0.0673757799202394
15,295.6972075043299,0.06474013206702385
19,295.6872735904703,0.06407714587789688
3,296.4584827055405,0.06105617262265994
19,295.8654195606343,0.06978343628189876
19,296.0236567889304,0.061845467262883126
19,295.8395876398626,0.06165585867903545
3,295.84807211120926,0.06181411149444097
15,295.6849939305275,0.07338055424235179
3,296.14254751126276,0.06282436427813683
19,295.7411555813028,0.06098082614284669
19,295.7899147898591,0.07045362842422638
19,296.21535817218677,0.06060285818916474
19,295.99212301857796,0.06790216219764862
3,295.9764826125632,0.06699715259017462
4,296.37682542480496,0.060638473206181466
3,295.68733248173936,0.07122493984641547
19,295.40598436256465,0.06795005328796222
19,295.5884875767861,0.06801863339883003
3,296.42856470723973,0.06382974686564917
3,296.39675526080293,0.05548217472773705
19,295.3973865787576,0.07160800648075256
3,295.7693562175731,0.06983161546132877
3,296.1748983420248,0.06128473532539521
3,296.6360375959931,0.06734384797356441
19,295.6300685729556,0.06883126077395592
19,296.5444543297072,0.05865535961927885
4,295.6554502681096,0.07481662385008647
3,296.2860594346753,0.05992857691985284
3,296.3732706128861,0.055703836951076134
3,296.5375795437439,0.05870804764173343
3,295.8483912951787,0.06222365128340238
19,296.3854652092885,0.05512205463987504
3,295.774013618664,0.06546580868305678
3,296.61840020983686,0.06905337003213081
3,295.94576055748684,0.06768913147193108
